state,x,y
Andhra Pradesh,-78,-134
Arunachal Pradesh,276,165
Assam,231,112
Bihar,84,97
Chhattisgarh,-3,21
Goa,-208,-139
Gujarat,-261,32
Haryana,-139,164
Himachal Pradesh,-119,229
Jharkhand,64,46
Karnataka,-158,-139
Kerala,-155,-239
Madhya Pradesh,-86,54
Maharashtra,-157,-39
Manipur,266,84
Meghalaya,205,96
Mizoram,241,45
Nagaland,273,113
Odisha,47,-17
Punjab,-160,205
Rajasthan,-219,121
Sikkim,135,134
Tamil Nadu,-101,-236
Telangana,-82,-76
Tripura,214,57
Uttar Pradesh,-43,120
Uttarakhand,-83,195
West Bengal,128,32
Andaman and Nicobar Islands,267,-205
Chandigarh,-141,201
Dadra and Nagar Haveli and Daman and Diu,-225,-17
Delhi,-112,153
Jammu and Kashmir,172,267
Ladakh,-120,280
Lakshadweep,253,-222
Puducherry,-62,-202
